id,created_date,grabbed_date,tweet_age_hours,tweet_id,user_sn,tweet_text,n_retweets.x,n_favorites,created_day,dist_mean,dist_max,n_retweets.y,n_known_retweets,n_domestic,n_same_continent,n_other_continents,max_reach,per_domestic,per_same_continent,per_other_continent,unique_countries,tweeter_city,tweeter_country,tweeter_continent,geo_dist_group,global
4359,2019-11-07T04:56:31Z,2019-11-08T13:01:07Z,32.0766666666667,1192304802476118018,sportslawMELB,#sportslaw Retired racehorses' welfare poses huge challenge to Australian racing industry https://t.co/2UTEEHtjwQ via @ABCNews,2,0,2019-11-07,0,0,1,1,1,0,0,1,1,0,0,1,Melbourne,AUS,Oceania,Short distance,FALSE
4362,2019-11-06T22:32:24Z,2019-11-08T13:01:07Z,38.4786111111111,1192208135127216128,DropeAntonio7,#SportsLaw #WADAWorldConf2019 https://t.co/XzkWjy8riY,1,1,2019-11-06,1751.3026820188695,1751.3026820188695,1,1,0,1,0,2,0,1,0,1,Caracas,VEN,South America,Short distance,FALSE
4365,2019-11-06T20:08:19Z,2019-11-08T13:01:07Z,40.88,1192171877436932099,rugbyandthelaw,"NEW ARTICLE: A piece I’ve written @TelegraphRugby @TelegraphSport on some of the legal implications of the Saracens salary cap breaches. 

Here I explore how other clubs could potentially look to sue, and the difficulties they would have. #sportslaw
 https://t.co/IHetArYcop",3,9,2019-11-06,0,0,1,1,1,0,0,1,1,0,0,1,London,GBR,Europe,Short distance,FALSE
4368,2019-11-06T17:50:02Z,2019-11-08T13:01:07Z,43.1847222222222,1192137074520055810,LawInSport,"A short review of the Italian Association of Sport Attorneys' 'Sport and Women' conference in Rome by Carlo Rombola

@crombola 

https://t.co/tUsAx4kqJM

#sportslaw https://t.co/3A5njDl3Ph",1,5,2019-11-06,277.8984975638969,277.8984975638969,1,1,1,0,0,1,1,0,0,1,London,GBR,Europe,Short distance,FALSE
4372,2019-11-06T13:12:47Z,2019-11-08T13:01:07Z,47.8055555555556,1192067302243614720,SHU_SportsLaw,"We are looking forward to the #CAS lecture today with @MarkHovell 
LLM International Sports Law in Practice. 
#sportslaw #practice #procedure",2,11,2019-11-06,47.17546778645194,47.17546778645194,2,2,2,0,0,1,1,0,0,1,West Yorkshire,GBR,Europe,Short distance,FALSE
4375,2019-11-06T10:32:12Z,2019-11-08T13:01:07Z,50.4819444444444,1192026892699918337,nisportslaw,"UK betting firms commit to five pledges for safer #gambling 

#regulation 

#sportslaw 

 https://t.co/94RdN5WjkG",2,0,2019-11-06,0,0,2,2,2,0,0,1,1,0,0,1,Dublin,IRL,Europe,Short distance,FALSE
4376,2019-11-06T09:39:23Z,2019-11-08T13:01:07Z,51.3622222222222,1192013602171084800,RPCLaw,The High Court has held that the duty to act with good faith should not be implied into an agreement between the owners of Sheffield United FC https://t.co/VytVzSH2Rx #Sports #SportsLaw https://t.co/9PnI6E1COV,1,1,2019-11-06,0,0,1,1,1,0,0,1,1,0,0,1,London,GBR,Europe,Short distance,FALSE
4378,2019-11-09T23:24:06Z,2019-11-11T09:23:35Z,33.9913888888889,1193308310763712514,prof_mark_james,"Sport governance at its worst. Ex-head of Greek Rugby League takes over Greek modern pentathlon, takes RL with him. Greek team banned from playing in Greece as not recognised there, but have qualified for #RLWC2021 as recognised by #RLIF #sportslaw
https://t.co/h13BGFGAua",8,13,2019-11-09,147.823611525517,295.647223051034,2,2,2,0,0,1,1,0,0,1,Manchester,GBR,Europe,Short distance,FALSE
4387,2019-11-09T12:32:01Z,2019-11-11T09:23:35Z,44.8594444444444,1193144207466258433,LawInSport,"UK Sport are looking for a 'In-House Lawyer' to join their team. See below for details on how to apply. 

https://t.co/SQ3xnMKzdV

#sportslaw #jobs https://t.co/JtSZCKPV34",3,4,2019-11-09,4613.149905336078,9226.299810672155,2,2,1,0,1,3,0.5,0,0.5,2,London,GBR,Europe,Medium distance,TRUE
4388,2019-11-09T08:18:40Z,2019-11-11T09:23:35Z,49.0819444444444,1193080452136849408,sportslawMELB,#sportslaw highly recommend The Ticket podcast on the recent Matildas pay deal and its wider impact for sport https://t.co/xSnQdnT44r,1,5,2019-11-09,0,0,1,1,1,0,0,1,1,0,0,1,Melbourne,AUS,Oceania,Short distance,FALSE
